student_id,date,study_week,mood_score_avg,happy_avg,sad_avg,mood1_score_avg,mood2_score_avg,num_mood_surveys,stress_avg,stress_max,num_stress_surveys,sleep_hours,sleep_rate,sleep_category,exercised_today,walked_today,exercise_intensity,social_avg,social_max,total_talking_minutes,num_conversations,unique_devices_nearby,total_bt_scans,fraction_walking,fraction_stationary,fraction_running,day_of_week,is_weekend
u00,2013-04-06,,,,,,,,,,,9.0,2.0,7 to 9h,True,,3.0,,,435.0,43.0,,,0.04908976773383553,0.8807281858129316,0.02824858757062147,5,True
u00,2013-04-07,,,,,,,,4.0,5.0,2.0,9.0,1.0,7 to 9h,False,,3.0,,,278.85,31.0,,,0.015194918420724872,0.9390957778054553,0.039730975214846184,6,True
u00,2013-04-08,,,,,,,,,,,4.0,3.0,under 5h,,,,4.0,4.0,491.3666666666667,29.0,40.0,99.0,0.07065823726292302,0.850749969009545,0.0581380934672121,0,False
u00,2013-04-09,,,,,,,,1.6666666666666667,3.0,3.0,6.0,3.0,5 to 7h,,,,5.0,5.0,301.53333333333336,32.0,22.0,26.0,0.045128849780012574,0.9205531112507856,0.0022627278441231928,1,False
u00,2013-04-10,,,,,,,,,,,5.0,1.0,under 5h,False,,1.0,4.0,4.0,345.6,27.0,17.0,34.0,0.05906288532675709,0.9149198520345253,0.007028360049321825,2,False
u00,2013-04-11,,,,,,,,,,,8.0,1.0,7 to 9h,,,,3.0,3.0,479.26666666666665,35.0,39.0,81.0,0.07704856318233154,0.8815409712636466,0.012674112184715773,3,False
u00,2013-04-12,,,,,,,,2.0,2.0,1.0,3.0,1.0,under 5h,False,,1.0,3.0,3.0,619.25,48.0,50.0,162.0,0.06083793276467637,0.9080531861515304,0.010286001003512292,4,False
u00,2013-04-13,,,,,,,,,,,14.0,1.0,over 9h,,,,,,359.3666666666667,39.0,,,0.012993321190042501,0.9434122647237402,0.0014571948998178506,5,True
u00,2013-04-14,,,,,,,,3.0,3.0,1.0,9.0,1.0,7 to 9h,,,,,,194.66666666666666,36.0,,,0.004881025015253203,0.9494813910921294,0.03965832824893228,6,True
u00,2013-04-15,,,,,,,,3.0,3.0,1.0,3.0,4.0,under 5h,,,,,,528.0666666666667,39.0,69.0,182.0,0.06664999374765537,0.9048393147430286,0.005877203951481806,0,False
u00,2013-04-16,,,,,,,,3.0,3.0,2.0,,,,False,True,1.0,,,410.95,26.0,23.0,90.0,0.03491780298203135,0.9469861093411495,0.002421307506053269,1,False
u00,2013-04-17,,,,,,,,3.0,3.0,1.0,3.0,4.0,under 5h,False,False,1.0,4.0,4.0,392.1666666666667,21.0,55.0,164.0,0.08659742209986235,0.8809911150043799,0.014641471655612564,2,False
u00,2013-04-18,,,,,,,,4.0,4.0,2.0,,,,,,,,,362.05,26.0,52.0,122.0,0.034047294787668686,0.935743469109818,0.010523709298006686,3,False
u00,2013-04-19,,,,,,,,,,,,,,False,True,3.0,3.0,3.0,483.91666666666663,26.0,58.0,154.0,0.09761484098939929,0.7386631330977621,0.017373380447585393,4,False
u00,2013-04-20,,,,,,,,,,,8.0,1.0,7 to 9h,,,,,,642.05,33.0,5.0,7.0,0.0794868569991196,0.7539932084014589,0.020249025279839013,5,True
u00,2013-04-21,,,,,,,,,,,8.0,2.0,7 to 9h,,,,2.0,2.0,264.35,45.0,,,0.010482691370063383,0.9499024865919063,0.03498293515358362,6,True
u00,2013-04-22,,,,,,,,,,,3.0,4.0,under 5h,True,False,3.0,,,182.3,18.0,67.0,206.0,0.07905138339920949,0.8945981554677207,0.00013175230566534913,0,False
u00,2013-04-23,,,,,,,,1.0,1.0,1.0,6.0,3.0,5 to 7h,,,,3.0,3.0,614.15,32.0,39.0,115.0,0.0499749498997996,0.8946643286573146,0.004008016032064128,1,False
u00,2013-04-24,5.0,-2.0,2.0,4.0,,,1.0,,,,9.0,1.0,7 to 9h,False,True,2.0,,,335.25,36.0,5.0,11.0,0.024453357484797517,0.9604088497865183,0.004010868158882132,2,False
u00,2013-04-25,5.0,-2.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,5.0,3.0,under 5h,,,,,,489.31666666666666,32.0,72.0,178.0,0.0695153855736888,0.9049458078983431,0.005107761305593621,3,False
u00,2013-04-26,,,,,,,,1.0,1.0,1.0,,,,,,,,,552.35,34.0,64.0,165.0,0.08401561909560398,0.8822269807280514,0.009447033631439727,4,False
u00,2013-04-27,,,,,,,,,,,,,,,,,,,455.1166666666667,31.0,,,0.04016802310317669,0.7866894197952219,0.12142294565502756,5,True
u00,2013-04-28,,,,,,,,1.0,1.0,1.0,,,,True,True,3.0,,,279.6,35.0,,,0.046982358402971214,0.865552460538533,0.06258124419684308,6,True
u00,2013-04-29,,,,,,,,2.0,2.0,1.0,,,,,,,,,597.4666666666667,43.0,51.0,201.0,0.07322418460745134,0.8918396287224443,0.009024107257960552,0,False
u00,2013-04-30,5.0,,,,0.0,,0.0,3.0,3.0,1.0,,,,,,,,,384.93333333333334,41.0,29.0,112.0,0.04488517745302714,0.9358783179242469,0.004920966298836862,1,False
u00,2013-05-01,,,,,,,,,,,3.0,4.0,under 5h,,,,,,414.5833333333333,40.0,59.0,155.0,0.0980247641509434,0.7678360849056604,0.016214622641509434,2,False
u00,2013-05-02,,,,,,,,,,,,,,,,,,,142.23333333333335,12.0,27.0,38.0,0.060942889996167114,0.9037945573016481,0.006899195093905711,3,False
u00,2013-05-03,6.0,,,,2.0,,0.0,,,,,,,,,,,,483.81666666666666,63.0,47.0,75.0,0.12057603124237247,0.8262143031486453,0.000488162069807176,4,False
u00,2013-05-04,,,,,,,,,,,,,,,,,,,393.33333333333337,31.0,22.0,25.0,0.14840267459138187,0.8049777117384844,0.0024145616641901933,5,True
u00,2013-05-05,6.0,,,,,2.0,0.0,,,,10.0,1.0,over 9h,False,,1.0,3.0,3.0,406.45,47.0,48.0,62.0,0.22300012965123817,0.691170750680669,0.07027097108777389,6,True
u00,2013-05-06,,,,,,,,1.0,1.0,1.0,9.0,1.0,7 to 9h,,,,4.0,4.0,500.8666666666667,66.0,54.0,60.0,0.1425545171339564,0.7358255451713396,0.05869158878504673,0,False
u00,2013-05-07,,,,,,,,,,,,,,,,,,,832.45,38.0,24.0,61.0,0.0798545819230287,0.8901842798044377,0.003886172746646609,1,False
u00,2013-05-08,,,,,,,,3.3333333333333335,5.0,3.0,6.0,1.0,5 to 7h,False,True,1.0,,,305.8,49.0,28.0,43.0,0.09905516610789393,0.7142639439195367,0.020115818348064616,2,False
u00,2013-05-09,,,,,,,,,,,10.0,2.0,over 9h,,,,,,374.75,25.0,45.0,118.0,0.06781205258362619,0.8987374723415332,0.014577638943121177,3,False
u00,2013-05-10,7.0,,,,,0.0,0.0,,,,11.0,1.0,over 9h,,,,4.0,4.0,387.46666666666664,39.0,46.0,145.0,0.08002466091245376,0.8934648581997534,0.00875462392108508,4,False
u00,2013-05-11,7.0,,,,,2.0,0.0,,,,,,,,,,4.0,4.0,391.3,30.0,2.0,2.0,0.027692307692307693,0.9147076923076923,0.0027076923076923077,5,True
u00,2013-05-12,7.0,,,,,2.0,0.0,,,,,,,,,,2.0,2.0,384.1333333333333,28.0,,,0.04233197177868548,0.9332838222552297,0.0029706646862235424,6,True
u00,2013-05-13,7.0,,,,,2.0,0.0,,,,15.0,1.0,over 9h,,,,3.0,3.0,445.5833333333333,26.0,50.0,149.0,0.0797164531774655,0.8860838204203457,0.013182439995025495,0,False
u00,2013-05-14,,,,,,,,4.0,4.0,1.0,,,,,,,4.0,4.0,249.25,36.0,,,0.021559074299634592,0.9471376370280146,0.00341047503045067,1,False
u00,2013-05-15,8.0,2.0,3.0,1.0,,,1.0,2.5,4.0,2.0,,,,,,,,,615.0333333333333,46.0,65.0,171.0,0.07426054122089365,0.8920075519194461,0.001132787916928886,2,False
u00,2013-05-16,8.0,1.0,2.0,1.0,,,1.0,4.0,4.0,1.0,10.0,1.0,over 9h,False,True,1.0,,,550.7666666666667,20.0,7.0,24.0,0.032175398633257406,0.6753986332574032,0.00811503416856492,3,False
u00,2013-05-17,8.0,1.0,2.0,1.0,,,1.0,4.0,4.0,2.0,9.0,2.0,7 to 9h,False,True,4.0,,,537.25,22.0,17.0,90.0,0.06140113605626183,0.9083040302948336,0.0017581823099810658,4,False
u00,2013-05-18,,,,,,,,,,,,,,False,True,1.0,,,,,,,0.0,1.0,0.0,5,True
u00,2013-05-19,8.0,,,,,1.0,0.0,,,,,,,False,True,1.0,,,156.66666666666666,29.0,,,0.09671717171717172,0.8679292929292929,0.012626262626262626,6,True
u00,2013-05-20,8.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,74.26666666666667,10.0,,,0.0,1.0,0.0,0,False
u00,2013-05-21,8.0,0.0,1.0,1.0,,,1.0,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,1,False
u00,2013-05-22,9.0,0.0,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,,,,,,,,,31.566666666666666,7.0,9.0,21.0,0.2168458781362007,0.6021505376344086,0.03225806451612903,2,False
u00,2013-05-23,,,,,,,,1.0,1.0,2.0,9.0,2.0,7 to 9h,,,,,,385.05,36.0,27.0,97.0,0.11233160621761658,0.805181347150259,0.018238341968911918,3,False
u00,2013-05-24,,,,,,,,1.0,1.0,2.0,9.0,2.0,7 to 9h,,,,,,346.6,50.0,17.0,48.0,0.041462751495377925,0.8516856987493203,0.0008156606851549756,4,False
u00,2013-05-25,9.0,,,,,2.0,0.0,2.0,3.0,4.0,7.0,3.0,5 to 7h,False,True,4.0,2.0,2.0,422.0,34.0,32.0,58.0,0.1578469225528049,0.7712923007040654,0.0022711787417669773,5,True
u00,2013-05-26,,,,,,,,,,,12.0,2.0,over 9h,,,,2.0,2.0,186.73333333333335,39.0,,,0.0028929604628736743,0.9949373191899711,0.0,6,True
u00,2013-05-27,9.0,,,,2.0,2.0,0.0,,,,,,,,,,2.0,2.0,555.5,39.0,84.0,392.0,0.041774811518971694,0.9349894945000617,0.0060561117290816955,0,False
u00,2013-05-28,9.0,,,,2.0,,0.0,,,,9.0,3.0,7 to 9h,False,True,1.0,2.0,2.0,557.9,32.0,49.0,145.0,0.06370776711133275,0.9086148859244483,0.013963346216182521,1,False
u00,2013-05-29,10.0,,,,2.0,,0.0,,,,1.0,1.0,under 5h,False,True,3.0,2.0,2.0,514.8666666666667,29.0,71.0,447.0,0.09767061708214139,0.8528810788720883,0.01491622394769105,2,False
u00,2013-05-30,10.0,,,,2.0,2.0,0.0,,,,,,,True,True,3.0,3.0,3.0,338.2,31.0,32.0,56.0,0.12343250553233341,0.8180477010081141,0.005409392672731743,3,False
u00,2013-05-31,10.0,,,,2.0,2.0,0.0,,,,10.0,2.0,over 9h,True,True,1.0,,,534.3,35.0,11.0,35.0,0.06014066312616621,0.7516865221759724,0.09056982919477537,4,False
u00,2013-06-01,10.0,,,,,2.0,0.0,,,,,,,,True,1.0,2.0,2.0,,,,,,,,5,True
u00,2013-06-02,10.0,,,,2.0,0.0,0.0,,,,9.0,1.0,7 to 9h,True,False,3.0,,,,,,,,,,6,True
u00,2013-06-03,10.0,,,,,2.0,0.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,0,False
u00,2013-06-04,,,,,,,,,,,,,,True,True,2.0,,,,,,,,,,1,False
u01,2013-03-27,,,,,,,,4.0,4.0,1.0,7.0,2.0,5 to 7h,,,,3.3333333333333335,4.0,363.2,18.0,12.0,33.0,0.02688370945862622,0.9347638426439758,0.02589715131335553,2,False
u01,2013-03-28,,,,,,,,4.0,4.0,1.0,10.0,1.0,over 9h,,,,,,366.78333333333336,45.0,7.0,57.0,0.07693271519859667,0.8797143215135947,0.013908031574990603,3,False
u01,2013-03-29,,,,,,,,3.0,5.0,2.0,7.0,1.0,5 to 7h,,,,4.0,4.0,588.6166666666667,38.0,12.0,73.0,0.05488637774742332,0.891593195082578,0.04383459580280641,4,False
u01,2013-03-30,,,,,,,,1.0,1.0,1.0,8.0,1.0,7 to 9h,,,,3.0,3.0,462.56666666666666,24.0,2.0,68.0,0.032238065716057036,0.9446993180409176,0.007067575945443274,5,True
u01,2013-03-31,,,,,,,,1.5,2.0,2.0,8.0,1.0,7 to 9h,,,,4.0,4.0,396.51666666666665,47.0,6.0,51.0,0.026638582579605996,0.9656795936067402,0.00037170115227357206,6,True
u01,2013-04-01,,,,,,,,,,,7.0,2.0,5 to 7h,,,,,,502.51666666666665,41.0,12.0,23.0,0.10175,0.862,0.026875,0,False
u01,2013-04-02,,,,,,,,,,,8.0,2.0,7 to 9h,,,,,,206.51666666666665,34.0,8.0,17.0,0.03526075699667119,0.9377388731352484,0.0182468252989767,1,False
u01,2013-04-03,,,,,,,,1.0,1.0,1.0,6.0,2.0,5 to 7h,False,,1.0,2.0,2.0,788.1666666666666,22.0,31.0,71.0,0.02963885429638854,0.9307596513075965,0.030012453300124534,2,False
u01,2013-04-04,,,,,,,,4.0,4.0,1.0,8.0,2.0,7 to 9h,,,,,,625.7333333333333,40.0,16.0,24.0,0.06758603553236427,0.8910423655112436,0.023108460678345134,3,False
u01,2013-04-05,,,,,,,,4.0,4.0,2.0,7.0,3.0,5 to 7h,False,,1.0,4.0,4.0,659.7,45.0,5.0,17.0,0.07552377367958851,0.9002634550244637,0.013549115543846444,4,False
u01,2013-04-06,,,,,,,,5.0,5.0,1.0,8.0,1.0,7 to 9h,False,True,1.0,4.0,4.0,530.35,37.0,10.0,20.0,0.04644305197198673,0.9276323872711635,0.009460621697997298,5,True
u01,2013-04-07,,,,,,,,1.0,1.0,1.0,9.0,1.0,7 to 9h,,,,3.0,3.0,526.7833333333333,29.0,2.0,7.0,0.03175775480059084,0.9325455440669621,0.024372230428360415,6,True
u01,2013-04-08,,,,,,,,,,,6.0,2.0,5 to 7h,,,,4.0,4.0,630.9,54.0,3.0,7.0,0.08576826196473551,0.8817380352644836,0.02229219143576826,0,False
u01,2013-04-09,,,,,,,,1.5,2.0,2.0,8.0,1.0,7 to 9h,,,,,,455.31666666666666,33.0,,,0.018534325082307037,0.9665894403121571,0.010608462382636264,1,False
u01,2013-04-10,,,,,,,,1.0,1.0,2.0,5.0,2.0,under 5h,False,True,1.0,3.0,3.0,745.4666666666667,38.0,,,0.01965360520820538,0.950620316914384,0.02370716128239774,2,False
u01,2013-04-11,,,,,,,,1.0,1.0,1.0,6.0,2.0,5 to 7h,,,,,,429.06666666666666,34.0,,,0.04408352668213457,0.9400415191110025,0.011723043106606424,3,False
u01,2013-04-12,,,,,,,,,,,5.0,2.0,under 5h,,,,2.0,2.0,822.7,40.0,43.0,119.0,0.06584309730005095,0.8879266428935303,0.029164544065206317,4,False
u01,2013-04-13,,,,,,,,4.0,4.0,1.0,9.0,1.0,7 to 9h,,,,,,477.8833333333333,28.0,8.0,11.0,0.03848510846917515,0.9388405441843363,0.00980512317685991,5,True
u01,2013-04-14,,,,,,,,1.0,1.0,1.0,8.0,1.0,7 to 9h,,,,,,414.15000000000003,34.0,5.0,21.0,0.01615450018219361,0.9706060974128508,0.012389165553261266,6,True
u01,2013-04-15,,,,,,,,1.0,1.0,1.0,,,,,,,,,524.8,51.0,7.0,16.0,0.04123581336696091,0.9382093316519546,0.01639344262295082,0,False
u01,2013-04-16,,,,,,,,1.0,1.0,1.0,7.0,1.0,5 to 7h,False,False,1.0,4.0,4.0,464.6,44.0,13.0,35.0,0.020290917980686957,0.9564845373426232,0.01674611905635008,1,False
u01,2013-04-17,,,,,,,,1.0,1.0,1.0,5.0,2.0,under 5h,,,,4.0,4.0,725.6166666666667,47.0,35.0,100.0,0.03189149560117302,0.9119012707722385,0.04618768328445748,2,False
u01,2013-04-18,,,,,,,,4.0,4.0,1.0,8.0,1.0,7 to 9h,False,,1.0,4.0,4.0,530.5333333333333,42.0,47.0,98.0,0.09704378196332793,0.8590495197704877,0.03417737308220033,3,False
u01,2013-04-19,,,,,,,,,,,7.0,2.0,5 to 7h,,,,4.0,4.0,612.1333333333333,47.0,,,0.07682744903033317,0.8822725012431626,0.03455992043759324,4,False
u01,2013-04-20,,,,,,,,4.0,4.0,1.0,,,,,,,,,316.6333333333333,29.0,3.0,14.0,0.020657007602926408,0.9660020083201836,0.008750537942906327,5,True
u01,2013-04-21,,,,,,,,,,,7.0,2.0,5 to 7h,,,,,,421.96666666666664,67.0,6.0,55.0,0.06085319949811794,0.9158092848180678,0.015934755332496862,6,True
u01,2013-04-22,,,,,,,,,,,7.0,2.0,5 to 7h,,,,,,641.5,57.0,37.0,216.0,0.04672428911436803,0.9190780408367781,0.026806964800200426,0,False
u01,2013-04-23,,,,,,,,,,,7.0,1.0,5 to 7h,,,,,,241.05,14.0,15.0,76.0,0.04414715719063545,0.9237458193979933,0.028361204013377925,1,False
u01,2013-04-24,,,,,,,,,,,,,,,,,,,437.85,37.0,5.0,59.0,0.02053776516686934,0.9551411971355223,0.015403323875152006,2,False
u01,2013-04-25,5.0,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,720.3166666666666,73.0,27.0,114.0,0.05248138957816377,0.9202233250620347,0.022084367245657568,3,False
u01,2013-04-26,5.0,,,,,2.0,0.0,1.0,1.0,1.0,,,,False,,1.0,,,568.9,66.0,48.0,178.0,0.06562071971111941,0.8848213173950941,0.027393848835761424,4,False
u01,2013-04-27,,,,,,,,,,,,,,,,,,,601.3333333333334,78.0,5.0,80.0,0.1329531051964512,0.8204055766793409,0.01926489226869455,5,True
u01,2013-04-28,,,,,,,,2.0,2.0,3.0,,,,,,,,,435.6166666666667,26.0,5.0,102.0,0.003981179876945349,0.9866087585957293,0.005308239835927132,6,True
u01,2013-04-29,,,,,,,,3.0,3.0,1.0,,,,,,,,,,,4.0,58.0,0.0494250061169562,0.9273305603131882,0.018106190359677025,0,False
u01,2013-04-30,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,3.0,50.0,0.009295499021526418,0.9669765166340509,0.01113013698630137,1,False
u01,2013-05-01,6.0,,,,0.0,,0.0,,,,,,,,,,,,,,8.0,48.0,0.01676456191874694,0.9505628976994616,0.026798825256975037,2,False
u01,2013-05-02,,,,,,,,,,,,,,,,,,,207.6,8.0,31.0,51.0,0.057775578374365956,0.8937275763949029,0.03575405171347272,3,False
u01,2013-05-03,,,,,,,,,,,,,,,,,,,653.8333333333334,57.0,9.0,19.0,0.039094395645181246,0.9190894469875046,0.027093900779413583,4,False
u01,2013-05-04,,,,,,,,,,,,,,,,,,,128.41666666666666,25.0,1.0,13.0,0.015254698992100245,0.9708526287115228,0.00490329610460365,5,True
u01,2013-05-07,,,,,,,,1.0,1.0,1.0,,,,,,,,,236.78333333333333,12.0,2.0,2.0,0.060505002382086705,0.8427822772748929,0.04764173415912339,1,False
u01,2013-05-08,,,,,,,,,,,,,,,,,,,613.4166666666666,37.0,14.0,38.0,0.026322263222632227,0.9511685116851168,0.017712177121771217,2,False
u01,2013-05-09,7.0,,,,,2.0,0.0,,,,,,,,,,,,734.6,65.0,19.0,67.0,0.0523248605083695,0.9052696838189709,0.027898326100433975,3,False
u01,2013-05-10,,,,,,,,,,,,,,,,,,,579.0166666666667,53.0,12.0,45.0,0.05237215033887862,0.9080714725816389,0.02809611829944547,4,False
u01,2013-05-11,,,,,,,,,,,,,,,,,,,623.5,60.0,13.0,31.0,0.05098209127671866,0.9176776429809359,0.018919699595609473,5,True
u01,2013-05-12,,,,,,,,,,,,,,,,,,,631.5666666666666,44.0,7.0,17.0,0.10893054024255788,0.832194046306505,0.033958103638368244,6,True
u01,2013-05-13,,,,,,,,,,,,,,,,,,,544.5166666666667,38.0,5.0,43.0,0.044649538538288853,0.9181840858069344,0.017460713394861563,0,False
u01,2013-05-14,,,,,,,,,,,,,,,,,,,606.3833333333333,30.0,4.0,28.0,0.01696582247356774,0.9370543398082124,0.0304893041553971,1,False
u01,2013-05-15,,,,,,,,,,,,,,,,,,,559.4666666666667,27.0,23.0,56.0,0.03224615384615385,0.9218461538461539,0.02633846153846154,2,False
u01,2013-05-16,8.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,635.0333333333333,89.0,8.0,25.0,0.05687085055743455,0.904797695102092,0.025554302893649003,3,False
u01,2013-05-17,,,,,,,,,,,,,,,,,,,656.0666666666666,49.0,8.0,21.0,0.07214178731902146,0.9000249625561657,0.017723414877683474,4,False
u01,2013-05-18,,,,,,,,,,,,,,,,,,,592.75,59.0,6.0,40.0,0.03306501547987616,0.9394427244582043,0.019690402476780187,5,True
u01,2013-05-19,,,,,,,,,,,,,,,,,,,,,10.0,96.0,0.031150745174688493,0.9461275348155387,0.008062545809919374,6,True
u01,2013-05-20,,,,,,,,,,,,,,,,,,,,,7.0,52.0,0.0,1.0,0.0,0,False
u01,2013-05-21,,,,,,,,,,,,,,,,,,,,,9.0,26.0,0.028172464478196962,0.9491670749632533,0.018128368446839783,1,False
u01,2013-05-22,,,,,,,,,,,,,,,,,,,,,13.0,20.0,0.041312122333210015,0.9155259588111975,0.0244173140954495,2,False
u01,2013-05-23,,,,,,,,,,,,,,,,,,,,,7.0,19.0,0.049001364594963404,0.8918248356283339,0.03609973948641608,3,False
u01,2013-05-24,,,,,,,,,,,,,,,,,,,,,4.0,13.0,0.0007365578197888534,0.9889516327031672,0.004173827645470169,4,False
u01,2013-05-25,,,,,,,,,,,,,,,,,,,653.6833333333334,37.0,6.0,23.0,0.06587362496802251,0.8949859299053466,0.025454080327449474,5,True
u01,2013-05-26,,,,,,,,,,,,,,,,,,,736.65,37.0,4.0,32.0,0.05304740406320542,0.9142212189616253,0.016930022573363433,6,True
u01,2013-05-27,,,,,,,,,,,,,,,,,,,543.5333333333333,33.0,61.0,969.0,0.02608695652173913,0.9589712186160441,0.008940600122473974,0,False
u01,2013-05-28,,,,,,,,,,,,,,,,,,,473.95,51.0,52.0,750.0,0.02156695503838187,0.9338369684415743,0.01973924698428171,1,False
u01,2013-05-29,,,,,,,,,,,,,,,,,,,100.33333333333333,9.0,29.0,354.0,0.0012161751292186075,0.9577379142596534,0.006384919428397689,2,False
u02,2013-03-27,,,,,,,,4.0,4.0,1.0,8.0,2.0,7 to 9h,,,,,,63.68333333333334,8.0,32.0,66.0,0.05949856554821006,0.9134339528501934,0.0032431083946613446,2,False
u02,2013-03-28,,,,,,,,1.0,1.0,1.0,7.0,2.0,5 to 7h,,,,,,165.36666666666667,9.0,41.0,103.0,0.05767314399601395,0.9133034379671151,0.004110612855007474,3,False
u02,2013-03-29,,,,,,,,4.0,4.0,1.0,7.0,3.0,5 to 7h,,,,4.0,4.0,326.93333333333334,19.0,23.0,55.0,0.054354539839407044,0.9336627547869055,0.0,4,False
u02,2013-03-30,,,,,,,,4.0,4.0,1.0,8.0,2.0,7 to 9h,,,,3.0,3.0,497.5833333333333,29.0,26.0,55.0,0.056286824620784756,0.9113701892942209,0.0,5,True
u02,2013-03-31,,,,,,,,5.0,5.0,1.0,7.0,2.0,5 to 7h,,,,,,444.26666666666665,27.0,14.0,29.0,0.059569074778200254,0.8405576679340938,0.0032953105196451204,6,True
u02,2013-04-01,,,,,,,,,,,7.0,2.0,5 to 7h,,,,3.0,3.0,336.0,28.0,27.0,74.0,0.045310981535471334,0.9489795918367347,0.0024295432458697765,0,False
u02,2013-04-02,,,,,,,,,,,8.0,2.0,7 to 9h,True,False,3.0,,,479.01666666666665,37.0,32.0,92.0,0.060210063507572055,0.9298974108451392,0.0002442598925256473,1,False
u02,2013-04-03,,,,,,,,1.5,2.0,2.0,8.0,3.0,7 to 9h,,,,,,1.3333333333333333,1.0,29.0,78.0,0.06378524812215244,0.9225464844231006,0.001847063169560399,2,False
u02,2013-04-04,,,,,,,,,,,8.0,2.0,7 to 9h,True,,3.0,,,414.68333333333334,26.0,29.0,68.0,0.07223310479921645,0.9210333006856023,0.0007345739471106758,3,False
u02,2013-04-05,,,,,,,,1.0,1.0,1.0,8.0,2.0,7 to 9h,,,,3.0,3.0,137.06666666666666,11.0,34.0,86.0,0.05694648993618066,0.8825478645066274,0.0004909180166912126,4,False
u02,2013-04-06,,,,,,,,4.0,4.0,1.0,7.0,2.0,5 to 7h,False,False,1.0,,,533.1666666666666,41.0,20.0,87.0,0.07597737890336857,0.8813621834275879,0.0013523481681829359,5,True
u02,2013-04-07,,,,,,,,1.0,1.0,1.0,9.0,2.0,7 to 9h,False,False,1.0,3.0,3.0,256.78333333333336,25.0,50.0,235.0,0.04187071498530852,0.9406219392752204,0.0015915768854064642,6,True
u02,2013-04-08,,,,,,,,1.0,1.0,1.0,7.0,2.0,5 to 7h,,,,4.0,4.0,291.43333333333334,19.0,20.0,37.0,0.03525091799265606,0.9571603427172583,0.00012239902080783354,0,False
u02,2013-04-09,,,,,,,,1.0,1.0,1.0,7.0,2.0,5 to 7h,,,,2.0,2.0,423.8833333333333,24.0,23.0,47.0,0.059240258947111275,0.9308660070844021,0.0,1,False
u02,2013-04-10,,,,,,,,,,,8.0,2.0,7 to 9h,,,,3.0,3.0,434.6,19.0,43.0,88.0,0.05994079921065614,0.9305624074987666,0.0,2,False
u02,2013-04-11,,,,,,,,1.0,1.0,1.0,,,,,,,4.0,4.0,412.46666666666664,23.0,28.0,62.0,0.041134577603143416,0.9453585461689588,0.0006139489194499018,3,False
u02,2013-04-12,,,,,,,,,,,,,,,,,3.0,3.0,369.3,14.0,71.0,160.0,0.06643529995042141,0.9020823004462072,0.0,4,False
